run_id,firm_id,company,relative_timepoint,target_date,selected_capture_date,impressum_available,governance_metadata_text,detected_legal_representatives,detected_legal_entity,detected_parent_company,governance_metadata_quality,governance_metadata_source_urls
ab33b6f5-06a8-4981-a805-65bf3f6b3516,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_pre_event,2020-07-01,2020-11-01,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_event,2022-07-01,2022-07-07,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,event,2024-07-01,2025-03-14,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_event,2026-07-01,2026-03-04,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_post_event,2028-07-01,,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,2,PETER-LACKE HOLDING GMBH,pre_pre_event,2011-07-01,2011-07-09,False,"Unternehmen - Unternehmensgruppe Die PETER-LACKE Unternehmensgruppe ist bereits in der 4. Generation inhabergeführt. Die damit verbundenen schnellen Entscheidungsprozesse und die kurzen Wege in der Gesamtorganisation sind für Geschäftsführer Andreas Peter von großer Bedeutung. Farbe bekennen Wir sind uns der Verantwortung gegenüber unseren Partnern, Mitarbeitern und der Gesellschaft bewusst. Gespür für Menschen und Märkte, Sachkenntnis und Wagemut bestimmen unsere Denk- und Handelsweisen. Wir werden die internationale Ausrichtung der Gruppe weiter ausbauen, Standorte sichern und weitere Märkte erschließen. Unternehmensdaten Zentrale in Hiddenhausen, Deutschland Hauptsitz Hiddenhausen, Deutschland Beschäftige 240 Jahresumsatz ca. 40 Mio. EUR Exportquote über 50% Kompetenz und solides Wachstum seit 1906 Firmenchronik 1906 Gründung als Malergeschäft und Möbellackiererei durch Ernst Peter und Sohn Wilhelm 1920 Start der eigenen Produktion als ""Lack- Oelfarben- und Kittfabrik"" 1945 PEHAZELL-NV-Lacke / PEHALUX-Kunstharzlacke 1950 PEHADUR-Einbrennlacke 1960 Umzug nach Hiddenhausen-Schweicheln. PEHAPOL-2K-Lacke. 1978 Andreas Peter wird Geschäftsführer. PEHACRYL-Kunststoff-Lacke. 1980 Lacksysteme für die Automobilindustrie 1990 PEHALUX-UV-Lacke für Holz und Kunststoff, Entwicklungen für Flachglas und Hohlglas 2000 Einsatz von Nanotechnologie bei Wasserlacken 2006 100 Jahre PETER-LACKE Die Geschäftsführer Ernst Peter 1853 - 1929 Wilhelm Peter 1878 - 1948 E. H. Peter Andreas Peter zur Bildergalerie",,,,high,"[""http://www.peter-lacke.de/deu/peter-lacke/unternehmen/unternehmensgruppe/unternehmensgruppe.html""]"
ab33b6f5-06a8-4981-a805-65bf3f6b3516,2,PETER-LACKE HOLDING GMBH,pre_event,2013-07-01,2013-07-03,False,"Unternehmen - Unternehmensgruppe Die PETER-LACKE Unternehmensgruppe ist bereits in der 4. Generation inhabergeführt. Die damit verbundenen schnellen Entscheidungsprozesse und die kurzen Wege in der Gesamtorganisation sind für Geschäftsführer Andreas Peter von großer Bedeutung. Farbe bekennen Wir sind uns der Verantwortung gegenüber unseren Partnern, Mitarbeitern und der Gesellschaft bewusst. Gespür für Menschen und Märkte, Sachkenntnis und Wagemut bestimmen unsere Denk- und Handelsweisen. Wir werden die internationale Ausrichtung der Gruppe weiter ausbauen, Standorte sichern und weitere Märkte erschließen. Unternehmensdaten Zentrale in Hiddenhausen, Deutschland Hauptsitz Hiddenhausen, Deutschland Beschäftige 245 Jahresumsatz ca. 40 Mio. EUR Exportquote über 50% Kompetenz und solides Wachstum seit 1906 Firmenchronik 1906 Gründung als Malergeschäft und Möbellackiererei durch Ernst Peter und Sohn Wilhelm 1920 Start der eigenen Produktion als ""Lack- Oelfarben- und Kittfabrik"" 1945 PEHAZELL-NV-Lacke / PEHALUX-Kunstharzlacke 1950 PEHADUR-Einbrennlacke 1960 Umzug nach Hiddenhausen-Schweicheln. PEHAPOL-2K-Lacke. 1978 Andreas Peter wird Geschäftsführer. PEHACRYL-Kunststoff-Lacke. 1980 Lacksysteme für die Automobilindustrie 1990 PEHALUX-UV-Lacke für Holz und Kunststoff, Entwicklungen für Flachglas und Hohlglas 2000 Einsatz von Nanotechnologie bei Wasserlacken 2006 100 Jahre PETER-LACKE Die Geschäftsführer Ernst Peter 1853 - 1929 Wilhelm Peter 1878 - 1948 E. H. Peter Andreas Peter zur Bildergalerie",,,,high,"[""http://www.peter-lacke.de/deu/peter-lacke/unternehmen/unternehmensgruppe/unternehmensgruppe.html""]"
ab33b6f5-06a8-4981-a805-65bf3f6b3516,2,PETER-LACKE HOLDING GMBH,event,2015-07-01,2015-05-22,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,2,PETER-LACKE HOLDING GMBH,post_event,2017-07-01,,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,2,PETER-LACKE HOLDING GMBH,post_post_event,2019-07-01,,False,,,,,low,
