run_id,firm_id,rank,company,event_type,event_year,event_label,event_date,event_date_precision,event_date_source,relative_timepoint,target_year,target_date,target_date_precision,observation_is_future,snapshot_status,capture_source,requested_url,cdx_original_url,canonical_original_url,archive_timestamp,selected_capture_date,temporal_distance_days,temporal_fit_quality,temporal_fit_usable_default,event_snapshot_position,days_from_actual_event,days_between_selected_snapshots,adjacent_period_overlap_flag,homepage_available,relevant_subpages_available,subpage_only_observation,observation_recommendation,wayback_replay_url,http_status,mime_type,digest,redirect_chain,selection_reason,fallback_attempts,failure_reason,event_year_precision_note,discovered_at,event_date_inferred,event_date_verified,event_date_final,event_date_verification_status,analysis_eligible,duplicate_capture_flag,duplicate_capture_winner_timepoint,observation_scope
ed085a32-23b7-4c16-9931-d5cd0abea722,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,family_internal_succession,2024,Übernahme durch Sohn nach Tod der Mutter,2024-07-01,year,unverified_proxy: event_year=2024 mid-year,pre_pre_event,2020,2020-07-01,year,False,selected,wayback,https://www.bluemoon.de/,https://www.bluemoon.de/,https://www.bluemoon.de/,20201101073754.0,2020-11-01,123.0,moderate,True,before_event,-1338.0,,False,True,False,False,include,https://web.archive.org/web/20201101073754id_/https://www.bluemoon.de/,200.0,text/html,UJKZA74AUROG7X3A6VRTKNPEM5RH6ZDL,,closest_within_548d_later_homepage,"[""http://bluemoon.de/"", ""http://www.bluemoon.de/"", ""https://bluemoon.de/"", ""https://www.bluemoon.de/""]",,,2026-07-14T16:05:31.945095+00:00,,,2024-07-01,unverified_proxy,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,family_internal_succession,2024,Übernahme durch Sohn nach Tod der Mutter,2024-07-01,year,unverified_proxy: event_year=2024 mid-year,pre_event,2022,2022-07-01,year,False,selected,wayback,https://www.bluemoon.de/,https://www.bluemoon.de/,https://www.bluemoon.de/,20220707114701.0,2022-07-07,6.0,high,True,before_event,-725.0,613,False,True,False,False,include,https://web.archive.org/web/20220707114701id_/https://www.bluemoon.de/,200.0,text/html,7ZPOWU7LMOWNDUXSHN2KTPCYBWOUVO3Q,,closest_within_548d_later_homepage,"[""http://bluemoon.de/"", ""http://www.bluemoon.de/"", ""https://bluemoon.de/"", ""https://www.bluemoon.de/""]",,,2026-07-14T16:05:31.945932+00:00,,,2024-07-01,unverified_proxy,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,family_internal_succession,2024,Übernahme durch Sohn nach Tod der Mutter,2024-07-01,year,unverified_proxy: event_year=2024 mid-year,event,2024,2024-07-01,year,False,selected,wayback,https://www.bluemoon.de/,https://www.bluemoon.de/,https://www.bluemoon.de/,20250314235344.0,2025-03-14,256.0,low,True,after_event,256.0,981,False,True,False,False,include,https://web.archive.org/web/20250314235344id_/https://www.bluemoon.de/,200.0,text/html,HMTV2LAOGVS4YEQ765UZSHMKPZDFPVVE,,closest_within_548d_later_homepage,"[""http://bluemoon.de/"", ""http://www.bluemoon.de/"", ""https://bluemoon.de/"", ""https://www.bluemoon.de/""]",,Event target uses year-level precision (2024-07-01). Event date source: event_year=2024 (mid-year proxy),2026-07-14T16:05:31.946751+00:00,,,2024-07-01,unverified_proxy,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,family_internal_succession,2024,Übernahme durch Sohn nach Tod der Mutter,2024-07-01,year,unverified_proxy: event_year=2024 mid-year,post_event,2026,2026-07-01,year,False,selected,wayback,https://www.bluemoon.de/,https://www.bluemoon.de/,https://www.bluemoon.de/,20260304002641.0,2026-03-04,119.0,moderate,True,after_event,611.0,355,False,True,False,False,include,https://web.archive.org/web/20260304002641id_/https://www.bluemoon.de/,200.0,text/html,64AJ5PJEZHUCRYIZ2AZV33K6RYD5D77W,,closest_within_548d_earlier_homepage,"[""http://bluemoon.de/"", ""http://www.bluemoon.de/"", ""https://bluemoon.de/"", ""https://www.bluemoon.de/""]",,,2026-07-14T16:05:31.947553+00:00,,,2024-07-01,unverified_proxy,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,family_internal_succession,2024,Übernahme durch Sohn nach Tod der Mutter,2024-07-01,year,unverified_proxy: event_year=2024 mid-year,post_post_event,2028,2028-07-01,year,True,future_unavailable,wayback,,,,,,,,,unknown,,,False,False,False,False,exclude,,,,,,future_unavailable,,,,2026-07-14T16:05:31.947594+00:00,,,2024-07-01,unverified_proxy,False,False,,unavailable
ed085a32-23b7-4c16-9931-d5cd0abea722,2,2,PETER-LACKE HOLDING GMBH,family_internal_succession,2015,Übernahme durch Sohn in 5. Generation,2015-07-01,year,unverified_proxy: event_year=2015 mid-year,pre_pre_event,2011,2011-07-01,year,False,selected,wayback,http://www.peter-lacke.de:80/,http://www.peter-lacke.de:80/,http://www.peter-lacke.de/,20110709094353.0,2011-07-09,8.0,high,True,before_event,-1453.0,,False,True,False,False,include,https://web.archive.org/web/20110709094353id_/http://www.peter-lacke.de:80/,200.0,text/html,GK5GT6YNV3AKRDHIGXWF4CYA6ZL5GLYU,,closest_within_548d_later_homepage,"[""http://peter-lacke.de/"", ""http://www.peter-lacke.de/"", ""https://peter-lacke.de/"", ""https://www.peter-lacke.de/""]",,,2026-07-14T16:05:31.949424+00:00,,,2015-07-01,unverified_proxy,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,2,2,PETER-LACKE HOLDING GMBH,family_internal_succession,2015,Übernahme durch Sohn in 5. Generation,2015-07-01,year,unverified_proxy: event_year=2015 mid-year,pre_event,2013,2013-07-01,year,False,selected,wayback,http://www.peter-lacke.de:80/,http://www.peter-lacke.de:80/,http://www.peter-lacke.de/,20130703032151.0,2013-07-03,2.0,high,True,before_event,-728.0,725,False,True,False,False,include,https://web.archive.org/web/20130703032151id_/http://www.peter-lacke.de:80/,200.0,text/html,MMA3EUOIVMMZ6YMDFZVUVBKFVJVUFLNZ,,closest_within_548d_later_homepage,"[""http://peter-lacke.de/"", ""http://www.peter-lacke.de/"", ""https://peter-lacke.de/"", ""https://www.peter-lacke.de/""]",,,2026-07-14T16:05:31.950239+00:00,,,2015-07-01,unverified_proxy,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,2,2,PETER-LACKE HOLDING GMBH,family_internal_succession,2015,Übernahme durch Sohn in 5. Generation,2015-07-01,year,unverified_proxy: event_year=2015 mid-year,event,2015,2015-07-01,year,False,selected,wayback,http://www.peter-lacke.de:80/,http://www.peter-lacke.de:80/,http://www.peter-lacke.de/,20150522040733.0,2015-05-22,40.0,high,True,before_event,-40.0,688,False,True,False,False,sensitivity_analysis,https://web.archive.org/web/20150522040733id_/http://www.peter-lacke.de:80/,200.0,text/html,42JDHBAVLDFXMGT5ZLY7PJ5WAXTRJBOJ,,closest_within_548d_earlier_homepage,"[""http://peter-lacke.de/"", ""http://www.peter-lacke.de/"", ""https://peter-lacke.de/"", ""https://www.peter-lacke.de/""]",,Event target uses year-level precision (2015-07-01). Event date source: event_year=2015 (mid-year proxy),2026-07-14T16:05:31.951059+00:00,,,2015-07-01,unverified_proxy,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,2,2,PETER-LACKE HOLDING GMBH,family_internal_succession,2015,Übernahme durch Sohn in 5. Generation,2015-07-01,year,unverified_proxy: event_year=2015 mid-year,post_event,2017,2017-07-01,year,False,beyond_tolerance,wayback,,,,,,,,,unknown,,,False,False,True,True,exclude,,,,,,no_capture_within_tolerance,"[""http://peter-lacke.de/"", ""http://www.peter-lacke.de/"", ""https://peter-lacke.de/"", ""https://www.peter-lacke.de/""]",nearest_capture_exceeds_548_days,,2026-07-14T16:05:50.591512+00:00,,,2015-07-01,unverified_proxy,False,False,,subpages_only
ed085a32-23b7-4c16-9931-d5cd0abea722,2,2,PETER-LACKE HOLDING GMBH,family_internal_succession,2015,Übernahme durch Sohn in 5. Generation,2015-07-01,year,unverified_proxy: event_year=2015 mid-year,post_post_event,2019,2019-07-01,year,False,beyond_tolerance,wayback,,,,,,,,,unknown,,,False,False,True,True,exclude,,,,,,no_capture_within_tolerance,"[""http://peter-lacke.de/"", ""http://www.peter-lacke.de/"", ""https://peter-lacke.de/"", ""https://www.peter-lacke.de/""]",nearest_capture_exceeds_548_days,,2026-07-14T16:05:50.603517+00:00,,,2015-07-01,unverified_proxy,False,False,,subpages_only
