run_id,firm_id,company,relative_timepoint,target_date,selected_capture_date,snapshot_status,observation_recommendation,analysis_eligible,n_pages_total,n_pages_fetch_success,n_pages_extraction_usable,n_branding_pages_eligible,n_branding_pages_excluded,n_unique_branding_pages,n_impressum_pages,n_legal_technical_pages,n_duplicate_pages,n_duplicate_pages_within_observation,duplicate_tokens_removed,duplicate_words_removed,deduplication_applied,total_word_count_all_usable_pages,total_token_count_all_usable_pages,branding_word_count,branding_token_count,governance_metadata_word_count,detected_primary_language,language_distribution_json,n_pages_language_unknown,n_pages_de,n_pages_en,n_pages_other,n_pages_unknown,tokens_de,tokens_en,tokens_other,tokens_unknown,primary_language_by_tokens,german_text_analysis_eligible,german_text_analysis_exclusion_reason,text_analysis_eligible,text_analysis_exclusion_reason,text_analysis_quality_band
508f1903-71e7-4aab-aba6-000fed4d8b7d,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_pre_event,2020-07-01,2020-11-01,selected,include,True,25,25,24,17,7,17,0,8,5,5,230,230,True,9403,9403,9081,9081,0,de,"{""de"": 9081}",0,17,0,0,0,9081,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_event,2022-07-01,2022-07-07,selected,include,True,25,25,24,18,6,18,0,7,4,4,184,184,True,9550,9550,9224,9224,0,de,"{""de"": 9224}",0,18,0,0,0,9224,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,event,2024-07-01,2025-03-14,selected,include,True,25,25,25,24,1,24,0,1,0,0,0,0,True,12056,12056,9609,9609,0,de,"{""de"": 9609}",0,24,0,0,0,9609,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_event,2026-07-01,2026-03-04,selected,include,True,25,25,25,24,1,24,0,1,0,0,0,0,True,12702,12702,10255,10255,0,de,"{""de"": 10255}",0,24,0,0,0,10255,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_post_event,2028-07-01,,future_unavailable,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,pre_pre_event,2011-07-01,2011-07-09,selected,include,True,25,25,25,19,6,19,0,1,4,4,603,603,True,3483,3483,2603,2603,185,de,"{""de"": 2603}",0,19,0,0,0,2603,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,pre_event,2013-07-01,2013-07-03,selected,include,True,25,25,25,21,4,21,0,0,3,3,1082,1082,True,5286,5286,4023,4023,185,de,"{""de"": 2483, ""unknown"": 1540}",4,17,0,0,4,2483,0,0,1540,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,event,2015-07-01,2015-05-22,selected,sensitivity_analysis,True,25,25,25,12,13,12,0,11,11,11,1044,1044,True,3280,3280,2122,2122,0,de,"{""de"": 2122}",0,12,0,0,0,2122,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,post_event,2017-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_pre_event,2019-07-01,2019-07-23,selected,include,True,16,16,16,5,11,5,1,3,2,2,32,32,True,3965,3965,395,395,83,de,"{""de"": 395}",0,5,0,0,0,395,0,0,0,de,True,,True,,high
