run_id,firm_id,company,relative_timepoint,archive_timestamp,n_high_priority_pages_discovered,n_high_priority_pages_fetched,n_high_priority_pages_missing,n_secondary_pages_fetched,n_broad_pages_fetched,n_foreign_pages_deprioritized,crawl_limit_reached,unused_reserved_slots,pages_fetched
508f1903-71e7-4aab-aba6-000fed4d8b7d,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_pre_event,20201101073754.0,2,2,0,12,11,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_event,20220707114701.0,2,2,0,13,10,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,event,20250314235344.0,2,2,0,12,11,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_event,20260304002641.0,2,2,0,12,11,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,pre_pre_event,20110709094353.0,8,8,0,17,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,pre_event,20130703032151.0,12,12,0,12,1,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,event,20150522040733.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_pre_event,20190723051243.0,5,5,0,0,11,0,False,0,16
508f1903-71e7-4aab-aba6-000fed4d8b7d,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_event,20210623054251.0,6,6,0,0,19,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,3,ANLAGENTECHNIK LEICHTLE GMBH,event,20230529054753.0,5,5,0,0,16,0,False,0,21
508f1903-71e7-4aab-aba6-000fed4d8b7d,3,ANLAGENTECHNIK LEICHTLE GMBH,post_event,20250615044832.0,7,7,0,0,16,0,False,0,23
508f1903-71e7-4aab-aba6-000fed4d8b7d,3,ANLAGENTECHNIK LEICHTLE GMBH,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,4,MYRENNE GMBH,pre_pre_event,20080820062004.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,4,MYRENNE GMBH,pre_event,20100427181748.0,2,2,0,1,22,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,4,MYRENNE GMBH,event,20110810103830.0,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,4,MYRENNE GMBH,post_event,20140517163035.0,2,2,0,1,22,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,4,MYRENNE GMBH,post_post_event,20160801210455.0,7,7,0,0,18,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_pre_event,20010723123022.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_event,20050909231716.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,event,20050909231716.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_event,20080327012906.0,4,4,0,7,14,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_post_event,20100618062303.0,4,4,0,7,14,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,FIELMANN GROUP AG,pre_pre_event,20150701212229.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,FIELMANN GROUP AG,pre_event,20170624163636.0,2,2,0,0,23,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,FIELMANN GROUP AG,event,20190624201807.0,3,3,0,1,21,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,FIELMANN GROUP AG,post_event,20210627232106.0,4,4,0,0,21,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,FIELMANN GROUP AG,post_post_event,20230705081123.0,1,1,0,0,24,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,SIXT SE,pre_pre_event,20170701075542.0,5,5,0,2,18,4,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,SIXT SE,pre_event,20190701113259.0,7,7,0,5,13,4,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,SIXT SE,event,20210701134247.0,4,4,0,5,16,5,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,SIXT SE,post_event,20230701225351.0,2,2,0,0,23,6,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,SIXT SE,post_post_event,20250702180013.0,6,6,0,5,14,1,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,DM-DROGERIE MARKT GMBH + CO. KG,pre_pre_event,20150810025641.0,23,23,0,2,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,DM-DROGERIE MARKT GMBH + CO. KG,pre_event,20170701144430.0,22,22,0,3,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,DM-DROGERIE MARKT GMBH + CO. KG,event,20190702044729.0,21,21,0,4,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,DM-DROGERIE MARKT GMBH + CO. KG,post_event,20210713152535.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,DM-DROGERIE MARKT GMBH + CO. KG,post_post_event,20230701010633.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,TRIGEMA W. GRUPP KG,pre_pre_event,20200629092627.0,16,16,0,4,5,5,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,TRIGEMA W. GRUPP KG,pre_event,20220701193209.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,TRIGEMA W. GRUPP KG,event,20240703091852.0,16,16,0,6,3,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,TRIGEMA W. GRUPP KG,post_event,20260716033615.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,TRIGEMA W. GRUPP KG,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,pre_pre_event,20150704053410.0,8,8,0,8,9,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,pre_event,20160409012834.0,7,7,0,6,12,9,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,HARTING TECHNOLOGY GROUP,pre_pre_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,HARTING TECHNOLOGY GROUP,pre_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,HARTING TECHNOLOGY GROUP,event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,HARTING TECHNOLOGY GROUP,post_event,20170912095804.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,HARTING TECHNOLOGY GROUP,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,DIRK ROSSMANN GMBH,pre_pre_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,DIRK ROSSMANN GMBH,pre_event,20190701054456.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,DIRK ROSSMANN GMBH,event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,DIRK ROSSMANN GMBH,post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,DIRK ROSSMANN GMBH,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,pre_pre_event,20170629055008.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,pre_event,20190625223049.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,event,20210701200832.0,8,8,0,17,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,post_event,20230704211555.0,8,8,0,17,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,post_post_event,20250702162400.0,10,10,0,15,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,CLAAS KGAA MBH,pre_pre_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,CLAAS KGAA MBH,pre_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,CLAAS KGAA MBH,event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,CLAAS KGAA MBH,post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,CLAAS KGAA MBH,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,FABER-CASTELL AG,pre_pre_event,20130129035818.0,4,4,0,0,21,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,FABER-CASTELL AG,pre_event,20150702095513.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,FABER-CASTELL AG,event,20170701130951.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,FABER-CASTELL AG,post_event,20190626195508.0,10,10,0,15,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,FABER-CASTELL AG,post_post_event,20210615092020.0,17,17,0,8,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,HENKEL AG & CO. KGAA,pre_pre_event,20160702192233.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,HENKEL AG & CO. KGAA,pre_event,20180701180026.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,HENKEL AG & CO. KGAA,event,20200701184241.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,HENKEL AG & CO. KGAA,post_event,20220701011748.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,HENKEL AG & CO. KGAA,post_post_event,20240701232747.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,MERCK KGAA,pre_pre_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,MERCK KGAA,pre_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,MERCK KGAA,event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,MERCK KGAA,post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,MERCK KGAA,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,18,SCHAEFFLER AG,pre_pre_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,18,SCHAEFFLER AG,pre_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,18,SCHAEFFLER AG,event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,18,SCHAEFFLER AG,post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,18,SCHAEFFLER AG,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,19,HERAEUS GROUP,pre_pre_event,20081012131838.0,3,3,0,2,20,7,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,19,HERAEUS GROUP,pre_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,19,HERAEUS GROUP,event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,19,HERAEUS GROUP,post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,19,HERAEUS GROUP,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,20,BAHLSEN GMBH & CO. KG,pre_pre_event,20170215215847.0,3,3,0,0,12,0,False,0,15
508f1903-71e7-4aab-aba6-000fed4d8b7d,20,BAHLSEN GMBH & CO. KG,pre_event,20210415114357.0,1,1,0,0,19,19,False,0,20
508f1903-71e7-4aab-aba6-000fed4d8b7d,20,BAHLSEN GMBH & CO. KG,event,20210708082329.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,20,BAHLSEN GMBH & CO. KG,post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,20,BAHLSEN GMBH & CO. KG,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,21,FREUDENBERG GROUP,pre_pre_event,20080406145518.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,21,FREUDENBERG GROUP,pre_event,20100723155822.0,1,1,0,0,24,16,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,21,FREUDENBERG GROUP,event,20110320090511.0,1,1,0,0,24,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,21,FREUDENBERG GROUP,post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,21,FREUDENBERG GROUP,post_post_event,20170703095236.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,22,ANDREAS STIHL AG & CO. KG,pre_pre_event,20180701155026.0,4,4,0,2,19,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,22,ANDREAS STIHL AG & CO. KG,pre_event,20190817234741.0,4,4,0,2,19,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,22,ANDREAS STIHL AG & CO. KG,event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,22,ANDREAS STIHL AG & CO. KG,post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,22,ANDREAS STIHL AG & CO. KG,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,23,VAILLANT GROUP,pre_pre_event,20140902193759.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,23,VAILLANT GROUP,pre_event,20160617021527.0,3,3,0,1,21,0,True,0,25
