rescue_decision,rescue_decision_reason,original_german_text_eligible,rescue_german_text_eligible,original_text_analysis_eligible,rescue_text_analysis_eligible,original_observation_recommendation,rescue_observation_recommendation,original_primary_or_sensitivity,rescue_primary_or_sensitivity,original_branding_tokens_de,rescue_branding_tokens_de,original_branding_pages_de,rescue_branding_pages_de,original_temporal_fit_quality,rescue_temporal_fit_quality,original_temporal_distance_days,rescue_temporal_distance_days,entity_change_flag,forced_sensitivity_treatment,original_selected_capture,rescue_selected_capture,original_seed_url,rescue_seed_url,original_domain,rescue_domain,firm_id,company,relative_timepoint
retain_original,rescue_not_better_german_evidence,True,False,True,True,sensitivity_analysis,include,sensitivity,sensitivity,2122.0,0.0,12.0,0.0,high,high,40.0,8.0,False,False,2015-05-22,2015-07-09,http://www.peter-lacke.de/,https://www.peter-lacke.com/,,peter-lacke.com,2,PETER-LACKE HOLDING GMBH,event
remain_unavailable,rescue_outside_tolerance_or_not_found,False,False,False,False,exclude,,excluded,excluded,0.0,0.0,0.0,0.0,,,,,False,False,,,,,,,2,PETER-LACKE HOLDING GMBH,post_event
replace_with_rescue,rescue_provides_german_where_original_lacked,False,True,False,True,exclude,include,excluded,primary,0.0,4178.0,0.0,18.0,,high,,56.0,False,False,,2019-08-26,,https://www.peter-lacke.com/,,peter-lacke.com,2,PETER-LACKE HOLDING GMBH,post_post_event
retain_original,rescue_not_better_german_evidence,True,False,True,True,include,include,primary,sensitivity,2483.0,0.0,17.0,0.0,high,high,2.0,67.0,False,False,2013-07-03,2013-04-25,http://www.peter-lacke.de/,https://www.peter-lacke.com/,,peter-lacke.com,2,PETER-LACKE HOLDING GMBH,pre_event
retain_original,rescue_not_better_german_evidence,True,False,True,True,include,include,primary,sensitivity,2603.0,0.0,19.0,0.0,high,high,8.0,36.0,False,False,2011-07-09,2011-08-06,http://www.peter-lacke.de/,https://www.peter-lacke.com/,,peter-lacke.com,2,PETER-LACKE HOLDING GMBH,pre_pre_event
replace_with_rescue,rescue_provides_german_where_original_lacked,False,True,False,True,include,include,excluded,primary,0.0,5316.0,0.0,19.0,high,low,73.0,246.0,False,False,2017-09-12,2018-03-04,http://www.harting.com/,https://www.harting.com/DE/de,,harting.com,11,HARTING TECHNOLOGY GROUP,post_event
replace_with_rescue,rescue_provides_german_where_original_lacked,False,True,False,True,exclude,include,excluded,primary,0.0,5940.0,0.0,21.0,,high,,23.0,False,False,,2019-07-24,,https://www.harting.com/DE/de,,harting.com,11,HARTING TECHNOLOGY GROUP,post_post_event
replace_with_rescue,rescue_german_eligible_forced_sensitivity_scope,False,True,False,True,exclude,sensitivity_analysis,excluded,sensitivity,0.0,4528.0,0.0,18.0,,very_low,,375.0,False,True,,2012-06-21,,http://www.harting.de/,,harting.de,11,HARTING TECHNOLOGY GROUP,pre_event
replace_with_rescue,rescue_provides_german_where_original_lacked,False,True,False,True,exclude,include,excluded,primary,0.0,4150.0,0.0,17.0,,high,,12.0,False,False,,2011-07-13,,http://www.harting.de/,,harting.de,11,HARTING TECHNOLOGY GROUP,pre_pre_event
replace_with_rescue,rescue_provides_german_where_original_lacked,False,True,False,True,exclude,include,excluded,primary,0.0,11147.0,0.0,25.0,,high,,2.0,False,False,,2023-06-29,,https://unternehmen.rossmann.de/,,rossmann.de,12,DIRK ROSSMANN GMBH,post_event
replace_with_rescue,rescue_provides_german_where_original_lacked,False,True,False,True,exclude,include,excluded,primary,0.0,10496.0,0.0,23.0,,high,,0.0,False,False,,2025-07-01,,https://unternehmen.rossmann.de/,,rossmann.de,12,DIRK ROSSMANN GMBH,post_post_event
replace_with_rescue,better_german_branding_within_equal_or_better_temporal,True,True,True,True,include,sensitivity_analysis,primary,sensitivity,2595.0,5981.0,15.0,22.0,high,high,0.0,4.0,False,False,2019-07-01,2019-06-27,https://www.rossmann.de/,https://www.rossmann.de/unternehmen/,,rossmann.de,12,DIRK ROSSMANN GMBH,pre_event
replace_with_rescue,rescue_provides_german_where_original_lacked,False,True,False,True,exclude,sensitivity_analysis,excluded,sensitivity,0.0,8172.0,0.0,24.0,,high,,70.0,False,False,,2017-04-22,,https://www.rossmann.de/unternehmen/,,rossmann.de,12,DIRK ROSSMANN GMBH,pre_pre_event
