run_id,firm_id,rank,company,relative_timepoint,target_year,snapshot_status,pages_attempted,pages_success,pages_usable,pages_excluded,avg_text_chars,flags
a48bc35c-844b-4358-afb4-290410db7f5d,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_pre_event,2020,selected,25,0,25,0,4263.8,"[""soft_404_flag""]"
a48bc35c-844b-4358-afb4-290410db7f5d,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_event,2022,selected,25,0,15,10,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
a48bc35c-844b-4358-afb4-290410db7f5d,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,event,2024,selected,25,0,22,3,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
a48bc35c-844b-4358-afb4-290410db7f5d,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_event,2026,selected,25,0,23,2,,"[""likely_navigation_only""]"
a48bc35c-844b-4358-afb4-290410db7f5d,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_post_event,2028,future_unavailable,1,0,0,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
a48bc35c-844b-4358-afb4-290410db7f5d,2,2,PETER-LACKE HOLDING GMBH,pre_pre_event,2011,selected,25,0,24,1,,"[""likely_navigation_only""]"
a48bc35c-844b-4358-afb4-290410db7f5d,2,2,PETER-LACKE HOLDING GMBH,pre_event,2013,selected,25,0,24,1,,"[""likely_navigation_only""]"
a48bc35c-844b-4358-afb4-290410db7f5d,2,2,PETER-LACKE HOLDING GMBH,event,2015,selected,25,0,25,0,1766.5,"[""likely_navigation_only""]"
a48bc35c-844b-4358-afb4-290410db7f5d,2,2,PETER-LACKE HOLDING GMBH,post_event,2017,beyond_tolerance,1,0,0,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
a48bc35c-844b-4358-afb4-290410db7f5d,2,2,PETER-LACKE HOLDING GMBH,post_post_event,2019,beyond_tolerance,1,0,0,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
a48bc35c-844b-4358-afb4-290410db7f5d,3,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_pre_event,2019,selected,16,0,16,0,2119.2,"[""likely_navigation_only""]"
a48bc35c-844b-4358-afb4-290410db7f5d,3,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_event,2021,selected,25,0,25,0,1538.5,"[""likely_navigation_only""]"
a48bc35c-844b-4358-afb4-290410db7f5d,3,3,ANLAGENTECHNIK LEICHTLE GMBH,event,2023,selected,21,0,19,2,,"[""likely_navigation_only""]"
a48bc35c-844b-4358-afb4-290410db7f5d,3,3,ANLAGENTECHNIK LEICHTLE GMBH,post_event,2025,selected,23,0,22,1,,"[""likely_navigation_only""]"
a48bc35c-844b-4358-afb4-290410db7f5d,3,3,ANLAGENTECHNIK LEICHTLE GMBH,post_post_event,2027,future_unavailable,1,0,0,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
a48bc35c-844b-4358-afb4-290410db7f5d,4,4,MYRENNE GMBH,pre_pre_event,2008,selected,1,0,0,1,277.0,
a48bc35c-844b-4358-afb4-290410db7f5d,4,4,MYRENNE GMBH,pre_event,2010,selected,25,0,20,5,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
a48bc35c-844b-4358-afb4-290410db7f5d,4,4,MYRENNE GMBH,event,2012,event_unavailable,1,0,0,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
a48bc35c-844b-4358-afb4-290410db7f5d,4,4,MYRENNE GMBH,post_event,2014,selected,25,0,24,1,,"[""likely_navigation_only""]"
a48bc35c-844b-4358-afb4-290410db7f5d,4,4,MYRENNE GMBH,post_post_event,2016,selected,25,0,25,0,1510.3,"[""likely_navigation_only"", ""soft_404_flag""]"
a48bc35c-844b-4358-afb4-290410db7f5d,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_pre_event,2002,selected,1,0,0,1,1401.0,
a48bc35c-844b-4358-afb4-290410db7f5d,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_event,2004,selected,1,0,0,1,1260.0,
a48bc35c-844b-4358-afb4-290410db7f5d,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,event,2006,selected,1,0,0,1,1260.0,
a48bc35c-844b-4358-afb4-290410db7f5d,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_event,2008,selected,25,0,24,1,,"[""likely_navigation_only""]"
a48bc35c-844b-4358-afb4-290410db7f5d,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_post_event,2010,selected,25,0,25,0,2022.7,"[""likely_navigation_only""]"
