run_id,firm_id,company,relative_timepoint,target_date,selected_capture_date,snapshot_status,observation_recommendation,analysis_eligible,n_pages_total,n_pages_fetch_success,n_pages_extraction_usable,n_branding_pages_eligible,n_branding_pages_excluded,n_impressum_pages,n_legal_technical_pages,n_duplicate_pages,total_word_count_all_usable_pages,total_token_count_all_usable_pages,branding_word_count,branding_token_count,governance_metadata_word_count,detected_primary_language,language_distribution_json,n_pages_language_unknown,text_analysis_eligible,text_analysis_exclusion_reason,text_analysis_quality_band
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_pre_event,2020-07-01,2020-11-01,selected,include,True,25,25,24,11,13,0,13,0,12121,12121,7870,7870,0,de,"{""de"": 7870}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_event,2022-07-01,2022-07-07,selected,include,True,25,15,15,13,2,0,11,0,11760,11760,8021,8021,0,de,"{""de"": 8021}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,event,2024-07-01,2025-03-14,selected,include,True,25,25,25,23,2,0,2,0,13191,13191,9658,9658,0,de,"{""de"": 9658}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_event,2026-07-01,2026-03-04,selected,include,True,25,25,25,23,2,0,2,0,16610,16610,12659,12659,0,de,"{""de"": 12659}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_post_event,2028-07-01,,future_unavailable,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,0,unknown,,0,False,no_valid_snapshot,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,PETER-LACKE HOLDING GMBH,pre_pre_event,2011-07-01,2011-07-09,selected,include,True,25,25,25,12,13,11,2,0,5133,5133,2631,2631,2492,de,"{""de"": 2251, ""en"": 380}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,PETER-LACKE HOLDING GMBH,pre_event,2013-07-01,2013-07-03,selected,include,True,25,25,25,10,15,13,2,0,5151,5151,1002,1002,4166,de,"{""de"": 912, ""en"": 90}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,PETER-LACKE HOLDING GMBH,event,2015-07-01,2015-05-22,selected,sensitivity_analysis,True,25,25,25,24,1,0,0,0,5522,5522,5504,5504,0,de,"{""de"": 5504}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,PETER-LACKE HOLDING GMBH,post_event,2017-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,0,unknown,,0,False,no_valid_snapshot,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,PETER-LACKE HOLDING GMBH,post_post_event,2019-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,0,unknown,,0,False,no_valid_snapshot,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_pre_event,2019-07-01,2019-07-23,selected,include,True,16,16,16,1,15,0,12,0,4116,4116,63,63,0,de,"{""de"": 63}",0,False,insufficient_branding_tokens,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_event,2021-07-01,2021-06-23,selected,include,True,25,25,25,2,23,0,18,0,4869,4869,3319,3319,0,de,"{""de"": 3319}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,event,2023-07-01,2023-05-29,selected,sensitivity_analysis,True,21,21,21,2,19,0,15,0,5050,5050,3297,3297,0,de,"{""de"": 3297}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,post_event,2025-07-01,2025-06-15,selected,include,True,23,23,23,2,21,0,18,0,5662,5662,3392,3392,0,de,"{""de"": 3392}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,post_post_event,2027-07-01,,future_unavailable,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,0,unknown,,0,False,no_valid_snapshot,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,pre_pre_event,2008-07-01,2008-08-20,selected,include,True,1,1,1,1,0,0,0,0,36,36,36,36,0,de,"{""de"": 36}",0,False,insufficient_branding_tokens,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,pre_event,2010-07-01,2010-04-27,selected,include,True,25,25,25,22,3,0,3,0,7214,7214,7070,7070,0,de,"{""de"": 7070}",0,True,,high
